symbol,combination,output_size,window_size,data_mode,drop_out,val_score,test_score,balance_score
MSFT,random_forest2_news0,3,3,2,0.0,0.5116279069767442,0.39655172413793105,0.46
MSFT,svm0_xgboost2_lstm2,3,3,2,0.5,0.5348837209302325,0.39655172413793105,0.42
MSFT,svm0_random_forest2_xgboost2_news0,3,3,2,0.2,0.3023255813953488,0.39655172413793105,0.44
MSFT,svm0_random_forest2_xgboost2_news0,3,3,2,0.5,0.4883720930232558,0.39655172413793105,0.4
MSFT,svm0_xgboost2_lstm2_news0,3,3,2,0.0,0.4186046511627907,0.39655172413793105,0.42
MSFT,random_forest2_xgboost2_news0,3,3,2,0.5,0.6046511627906976,0.41379310344827586,0.46
MSFT,svm0_random_forest2_lstm2_news0,3,3,2,0.5,0.7441860465116279,0.41379310344827586,0.42
MSFT,svm0_xgboost2,3,3,2,0.5,0.5581395348837209,0.43103448275862066,0.5
MSFT,svm0_lstm2,3,3,2,0.2,0.5581395348837209,0.43103448275862066,0.5
MSFT,svm0_lstm2,3,3,2,0.5,0.5581395348837209,0.43103448275862066,0.5
MSFT,svm0_news0,3,3,2,0.2,0.5581395348837209,0.43103448275862066,0.5
MSFT,xgboost2_lstm2,3,3,2,0.0,0.5581395348837209,0.43103448275862066,0.5
MSFT,xgboost2_lstm2,3,3,2,0.5,0.5581395348837209,0.43103448275862066,0.5
MSFT,xgboost2_news0,3,3,2,0.2,0.5581395348837209,0.43103448275862066,0.5
MSFT,xgboost2_news0,3,3,2,0.5,0.5581395348837209,0.43103448275862066,0.5
MSFT,svm0_lstm2_news0,3,3,2,0.2,0.5581395348837209,0.43103448275862066,0.5
MSFT,random_forest2_xgboost2_lstm2,3,3,2,0.0,0.5581395348837209,0.43103448275862066,0.5
MSFT,random_forest2_xgboost2_lstm2,3,3,2,0.5,0.5581395348837209,0.43103448275862066,0.48
MSFT,random_forest2_lstm2_news0,3,3,2,0.0,0.5581395348837209,0.43103448275862066,0.5
MSFT,svm0_random_forest2_lstm2_news0,3,3,2,0.2,0.5581395348837209,0.43103448275862066,0.5
MSFT,random_forest2_xgboost2_lstm2_news0,3,3,2,0.5,0.5581395348837209,0.43103448275862066,0.5
