date,summary
2022-07-01," the federal cartel office considers Amazon to be dominant in its marketplace services for thirdparty merchants. The cartel office said it considers amazon dominant in their marketplace services.    for third-party merchants, as well as for Amazon's marketplaces for third party merchants. The classic abuse control which is applicable in parallel and on the basis of which we are conducting proceedings against Amazon also applies here, according to the court.    .   i   in the case of Amazon, the abuse control applies to them.  Germans antitrust watchdog said on Wednesday that Amazon's position is of outstanding crossmarket importance for competition, which allows the authority to prohibit any anticompetitive behaviour at an earlier stage. The company's logo is seen at the company logistics centre in Boves france. The total share of ecommerce in German retail sales estimated at 14.7% for 2021 by the german trade association. Amazon is first and foremost a retailer and is not interested in e-commerce as a service provider, a spokesperson for the company said. Amazons disagrees with the cartel offices assessment and will review the decision as well as its options including legal remedies, according to the cartel's assessment. Amazon will consider all legal options. Amazon is a subsidiary of Amazon.com, which is owned by Amazon."
2022-07-01,"Amazon has 170 million prime members in the United States as of 2021, according to consumer intelligence research partners data. Amazon has over 170 million Prime members worldwide. Amazon is the world's largest online retailer and has a market value of over $1.2 billion. Just eat takeaway.com tkwyas is being used as its u.s. version of deliveroo roo. london on July 6. Amazon.com, amzn.com and TKwyas are using it as well.   for the U.S. Just Eat takeaway wants to buy a 15% stake in grubhub. Amazon wants to do the same in the U.S. as well. Just Eat's Dutch rival, 3 billion dutch Just Eat, has already done it.     Grubhub deal hasn't boosted Amazon's UK market share. Amazon has seen value of its stake slump by 75 since august 2021. The enthusiastic share price response may reflect the hope that Amazon eventually swallows grubhub whole.     "
2022-07-01, Disney amazon amzn and Warner Bros. discovery wbd are equally strong in the streaming industry as Netflix and Disney amzn.    are also equally strong   and Disney is equally strong than Netflix   wbd.  and Warner Brothers Discovery wbd 
2022-07-01,Stag Industrial's growth is accelerating in 2022. Its leases are gradually expiring which allows it to hike rents by 1520. Its balance sheet is also the strongest in its history with a strong bbb investmentgrade credit rating and significant liquidity to pursue new acquisition opportunities.  amazon only accounts for a few percentage points of its revenue and the rest is well diversified. The market appears to price Amazon as if its growth prospects are a function of amazons growth rather than its diversifiedness than its revenue. It's not. Amazon's share price has dropped by 34. Amazon is stag's biggest tenant. Amazon was very reasonably valued in early 2022. Stag's organic growth has even accelerated this year. Stags guidance has only improved and the company's growth has also accelerated. 
2022-07-01,"Analysts from JPMorgan say the deal will bring new customers and strengthen Grubhubs position in the United States. It's similar to a partnership amazon has in Britain with just eat deliveroo roo.l.l and is similar to the one Amazon has with Just Eat. Amazon has for years acquired warrants to buy stock in air transport and food distribution companies in order to support the online retailers business without putting up money for a total acquisition. The deal represents a familiar playbook for amazon which for years has acquired warrants for stock in these companies. Amazon will receive warrants representing 2 of grubhub shares and an additional 13 of shares conditional on the deal bringing grubHub enough customers. read more at Amazon will receive 2 of Grubhub's shares, and an extra 13 shares of shares if the deal goes through.  Amzon stock rose more than 1, uber shares fell about 4 and doordash shares tumbled about 7. Just Eat is exploring the partial or full sale of grubhub, but there's no certainty any deal will be reached.      Amzn.o has secured the right to buy a 2 stake in just eat takeaway.coms tkwyas grubhub and will offer nofee access to the service for a year to u.s. prime members. Amazon is hoping to boost subscriptions with a renewed push into meal delivery."
2022-07-05,"Amzn financial is the undisputed king of ecommerce and cloud computing with its rapidly growing amazon web services business. Amazon.com inc. is the biggest ecommerce company in the world. Amazon is also the biggest provider of cloud computing services. Amazon has a web services division.  aws is amazons highestmargin segment and the driver of profitability for the company. It's the company's highest profit margin segment.   It's estimated to be worth $1 billion a year.  It is the highest profitability segment for aws.  Amazons still dominates both ecommerce and cloud computing with the number one market share in both categories, according to Euromonitor International's report. It is the biggest market share holder in both areas, followed by Google and Microsoft.    iReport  Amazon and Uber have been butchered by the market, but they may offer value for the long-term investor, as I believe they may now offer value to the long term investor. I believe Amazon and Uber will offer value in the long run.  Tepper was optimistic on Amazon and added to his position in the first quarter at an average price of 154 per share. Today the stock trades at 29% higher than where it was at in the previous quarter.    - tepper's position was added at 154."
2022-07-05,"Prime Day is an event that offers discounts on many items purchased through Amazon.com. It's also Prime Day on July 26th. It features savings on many products purchased through amazon.com and Prime Day is also available on July 28th.    is free today delivery on Amazon Prime orders. It's also free oneday delivery on some Amazon Prime customers. It is also free tomorrow delivery on amazon Prime customers, and free on day delivery.    for some customers, but not for others.  After your free year of grubhub is up, you will start paying again for your gruhub membership. Grubhub will charge the payment method associated with your account on a monthly basis at the current grubHub rate. Amazon says this will be the current payment method.  As an Amazon Prime member, you get a free year of membership to Grubhub, the fooddelivery platforms program that provides discounts and other benefits to Amazon Prime members.       .   for amazon amzn 1.53 prime member you just got an added perk.  is a good deal for amazon and grubhub fans, but it requires some sorting out before it becomes a good offer for grubHub users. It's a free year for all users, but not for everyone else. It also requires sorting out. "
2022-07-05,"eolas technology filed patent infringement actions against amazon google and walmart in the eastern district of texas in 2015. The asserted patent relates to remote computer systems that allow users at a client computer to connect to a network to retrieve and manipulate objects in an interactive way. Amazon.com inc. no. v. amazon. com inc. inc. is owned by Amazon.com Inc. (NASDAQ: AMZN).    .   i   in this instance, the company's name is not registered."
2022-07-05,"Comcast would have to pay billions back to Disney. It's still not clear if hulus original programming plus nbcuniversals content would be strong enough to compete with netflix amazon apple and disney around the world, as well as Netflix."
2022-07-05,"Amazon will give third-party sellers access to information that could help sell more products online, the ft said. The information will be available on the Amazon's marketplace. The website is available at: http://www.ft.com/shop/3oikyme. Amazon will work closely with the cma during its investigation. Sales from the company's selling partners continue to grow faster than retail sales, according to a spokesperson for Amazon.com. The cma is investigating the matter.       .   amazing services for fast delivery in Britain.    for the cma. For more information on amazons services, visit amazons.com or call 020 3615 0800.  for more information about the company or call them on 1-800-356-0080.  Amazon will share more data with rivals and offer buyers a wider choice of products as part of a deal with the eu. the financial times on Wednesday reported that Amazon will share data with its rivals and share it with the European Union. The deal is expected to come into effect soon. The CMA wants to investigate whether Amazon is using third party data to give an unfair boost to its own retail business and favours sellers who use its logistics and delivery services. The cma is concerned that it could weaken competition.      "
