symbol,combination,output_size,window_size,data_mode,drop_out,val_score,test_score,balance_score
TSLA,svm1_random_forest0_news2,14,14,2,0,0.777777778,0.777777778,0.636363636
TSLA,svm1_random_forest0,7,14,2,0.2,0.526315789,0.744186047,0.791666667
TSLA,svm1_random_forest0,7,14,2,0,0.631578947,0.720930233,0.5
TSLA,svm1_lstm2,7,14,2,0,0.631578947,0.720930233,0.5
TSLA,svm1_lstm2,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,svm1_lstm2,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,svm1_news0,7,14,2,0,0.631578947,0.720930233,0.5
TSLA,svm1_news0,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,svm1_news0,7,14,2,0.5,0.631578947,0.720930233,0.458333333
TSLA,random_forest0_xgboost2,7,14,2,0.5,0.763157895,0.720930233,0.5
TSLA,random_forest0_lstm2,7,14,2,0,0.631578947,0.720930233,0.5
TSLA,random_forest0_lstm2,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,random_forest0_news0,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,random_forest0_news0,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,xgboost2_lstm2,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,xgboost2_news0,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,xgboost2_news0,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,lstm2_news0,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,svm1_random_forest0_xgboost2,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,svm1_random_forest0_lstm2,7,14,2,0.2,0.131578947,0.720930233,0.833333333
TSLA,svm1_xgboost2_news0,7,14,2,0,0.763157895,0.720930233,0.5
TSLA,svm1_xgboost2_news0,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,svm1_lstm2_news0,7,14,2,0,0.631578947,0.720930233,0.5
TSLA,svm1_lstm2_news0,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,random_forest0_xgboost2_lstm2,7,14,2,0,0.789473684,0.720930233,0.5
TSLA,random_forest0_xgboost2_lstm2,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,random_forest0_xgboost2_lstm2,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,random_forest0_xgboost2_news0,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,random_forest0_lstm2_news0,7,14,2,0,0.157894737,0.720930233,0.75
TSLA,random_forest0_lstm2_news0,7,14,2,0.2,0.631578947,0.720930233,0.5
TSLA,random_forest0_lstm2_news0,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,svm1_random_forest0_xgboost2_lstm2,7,14,2,0,0.631578947,0.720930233,0.5
TSLA,svm1_random_forest0_xgboost2_lstm2,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,random_forest0_xgboost2_lstm2_news0,7,14,2,0.5,0.631578947,0.720930233,0.5
TSLA,svm1_random_forest0_xgboost2,7,14,2,0.5,0.631578947,0.697674419,0.875
TSLA,svm1_random_forest0_lstm2,7,14,2,0,0.236842105,0.697674419,0.541666667
TSLA,svm1_random_forest0_xgboost2_news0,7,14,2,0.5,0.631578947,0.697674419,0.875
TSLA,svm1_xgboost2_lstm2_news0,7,14,2,0,0.657894737,0.697674419,0.875
TSLA,svm1_xgboost2_lstm2_news0,7,14,2,0.2,0.763157895,0.697674419,0.875
TSLA,svm1_random_forest0,14,14,2,0,0.722222222,0.694444444,0.5
TSLA,svm1_random_forest0,14,14,2,0.2,0.805555556,0.694444444,0.5
TSLA,svm1_xgboost1,14,14,2,0,0.833333333,0.694444444,0.5
TSLA,random_forest0_lstm0,14,14,2,0.5,0.805555556,0.694444444,0.5
TSLA,random_forest0_news2,14,14,2,0.2,0.722222222,0.694444444,0.5
TSLA,random_forest0_news2,14,14,2,0.5,0.722222222,0.694444444,0.5
TSLA,xgboost1_lstm0,14,14,2,0,0.722222222,0.694444444,0.5
TSLA,xgboost1_lstm0,14,14,2,0.5,0.722222222,0.694444444,0.5
TSLA,xgboost1_news2,14,14,2,0,0.833333333,0.694444444,0.5
TSLA,xgboost1_news2,14,14,2,0.2,0.722222222,0.694444444,0.5
TSLA,xgboost1_news2,14,14,2,0.5,0.833333333,0.694444444,0.5
TSLA,lstm0_news2,14,14,2,0,0.722222222,0.694444444,0.5
TSLA,lstm0_news2,14,14,2,0.5,0.722222222,0.694444444,0.5
TSLA,svm1_random_forest0_xgboost1,14,14,2,0.2,0.722222222,0.694444444,0.5
TSLA,svm1_random_forest0_lstm0,14,14,2,0,0.75,0.694444444,0.5
TSLA,svm1_random_forest0_lstm0,14,14,2,0.2,0.722222222,0.694444444,0.5
TSLA,svm1_random_forest0_lstm0,14,14,2,0.5,0.805555556,0.694444444,0.5
TSLA,svm1_random_forest0_news2,14,14,2,0.2,0.722222222,0.694444444,0.5
TSLA,svm1_random_forest0_news2,14,14,2,0.5,0.722222222,0.694444444,0.5
TSLA,svm1_xgboost1_lstm0,14,14,2,0.5,0.75,0.694444444,0.5
TSLA,svm1_xgboost1_news2,14,14,2,0.2,0.722222222,0.694444444,0.5
TSLA,svm1_lstm0_news2,14,14,2,0.5,0.722222222,0.694444444,0.5
