,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
1999-11-01,69.13,68.06,71.88,66.31,3.4565,12824100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,69.10666666666667,,
1999-11-02,66.44,69.75,70.0,65.06,3.322,13243200.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,67.16666666666667,,
1999-11-03,65.81,68.19,68.5,65.0,3.2905,10772100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,66.43666666666667,,
1999-11-04,63.06,67.19,67.19,61.0,3.153,16759200.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,63.75,,
1999-11-05,64.94,64.75,65.5,62.25,3.247,11091400.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,64.23,,
1999-11-08,78.0,64.81,80.0,63.5,3.9,32339400.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,73.83333333333333,,
1999-11-09,70.81,80.88,83.06,70.0,3.5405,26477100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,74.62333333333333,,
1999-11-10,72.0,71.56,75.0,70.13,3.6,11506700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,72.37666666666667,,
1999-11-11,73.0,74.75,75.0,71.38,3.65,9293900.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,73.12666666666667,,
1999-11-12,74.94,73.75,75.0,70.81,3.747,10319600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,73.58333333333333,,
