,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
2004-08-19,100.335,100.01,104.06,95.96,2.51614208958723,44659000.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,100.11833333333333,,
2004-08-20,108.31,101.01,109.08,100.5,2.71613444683503,22834300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,105.96333333333332,,
2004-08-23,109.4,110.76,113.48,109.05,2.74346882544319,18256100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,110.64333333333333,,
2004-08-24,104.87,111.24,111.6,103.57,2.62986815104413,15247300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,106.68,,
2004-08-25,106.0,104.76,108.0,103.88,2.65820562611497,9188600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,105.96,,
2004-08-26,107.91,104.95,107.95,104.66,2.70610348220818,7094800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,106.83999999999999,,
2004-08-27,106.15,108.1,108.62,105.69,2.66196723785004,6211700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,106.82,,
2004-08-30,102.01,105.28,105.49,102.01,2.55814675396216,5196700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,103.17,,
2004-08-31,102.37,102.32,103.71,102.16,2.56717462212632,4917800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,102.74666666666667,,
2004-09-01,100.25,102.7,102.97,99.67,2.51401050960402,9138200.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,100.96333333333332,,
2004-09-02,101.51,99.09,102.37,98.94,2.54560804817859,15118600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,100.94,,
2004-09-03,100.01,100.95,101.74,99.32,2.50799193082791,5152400.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,100.35666666666667,,
2004-09-07,101.58,101.01,102.0,99.61,2.54736346698829,5847500.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,101.06333333333333,,
2004-09-08,102.3,100.74,103.03,100.5,2.56541920331662,4985600.0,-63.81278538812786,0.06535839015466502,0.06535839015466502,0.0,,,-45.74725997281166,,,,,,1.424382069543275,,,,,0.0,,0.0,,-0.756071428571417,-3.286071428571418,97.53555810271293,103.78607142857143,110.03658475442994,12.04499455432281,0.3811240492502011,103.78607142857143,103.78607142857142,101.94333333333333,,
2004-09-09,102.31,102.5,102.71,101.0,2.56566997743229,4061700.0,-76.82255845942227,0.06549772652993374,0.06540483561308794,9.289091684580586e-05,,,-49.47960050819924,,,,0.5835292282602464,0.7608436449978369,2.2868871915884443,0.6332013924983865,0.06566916043225297,1.9750000000000085,1.9684058404345528,0.0,,0.0,0.14107142857142918,-0.8792619047619041,-2.589261904761898,97.90975173487338,103.92714285714285,109.94453397941233,11.580018379877748,0.36562757644604105,103.92714285714285,103.5892619047619,102.00666666666666,,
2004-09-10,105.33,101.47,106.56,101.3,2.641403760365,8698800.0,-56.052269601100434,0.10811754002535126,0.07964240375050904,0.028475136274842217,,,13.027885982810824,,,,0.9312613571723052,0.6798480387510999,4.151578033662855,17.147915866713497,0.11863057324840785,-2.980000000000004,-2.751361831779156,0.0,,0.0,-0.21285714285714313,2.7386396825396844,-2.5213603174603207,98.13740120621792,103.71428571428571,109.2911702223535,10.754322742830453,0.6448581446663383,103.71428571428571,103.82136031746032,104.39666666666666,101.39238888888889,
2004-09-13,107.5,106.63,108.41,106.46,2.69582174346566,7844100.0,-32.3854660347551,0.1657191610267719,0.10833465617593,0.0573845048508419,,,109.50078141125806,,,,1.0257558697848286,0.6099240080445633,4.425249169435159,26.58912554880297,0.0725190839694659,-1.9000000000000057,-1.736745886654484,0.0,,0.0,-0.13571428571428612,4.098154391534393,2.1481543915343906,98.49070992358943,103.57857142857142,108.66643293355341,9.824158481449254,0.88537100190215,103.57857142857142,104.3118456084656,107.45666666666666,103.22629365079365,
2004-09-14,111.49,107.44,112.0,106.79,2.79588061561848,10828900.0,-3.9050535987749213,0.2520685876822883,0.15624596667804944,0.09582262100423886,,,159.39645873345842,,,,1.2814594435453392,0.5491030640706203,5.855489922222328,40.10419944852348,0.25798908807482446,6.61999999999999,6.312577476876124,0.0,,0.0,0.47285714285714214,6.731067139329809,1.5210671393298156,97.5400150442097,104.05142857142857,110.56284209864745,12.515759978728141,1.071194825630169,104.05142857142857,105.26893286067019,110.09333333333335,105.89312698412698,
2004-09-15,112.0,110.56,114.23,110.2,2.80867009551771,10713000.0,-14.584695879659925,0.3133501584528542,0.20861403060298436,0.10473612784986983,,,168.05711476516436,,,,1.3734445650299252,0.49585356228349403,4.210714285714306,41.58456046522721,0.23961661341853044,6.0,5.660377358490566,0.0,,0.0,0.42857142857142855,8.063591520752496,4.033591520752495,96.82295469145294,104.48,112.13704530854707,14.65743742064906,0.9910510318912376,104.48,106.16640847924751,112.14333333333333,108.73021428571428,
2004-09-16,113.97,112.34,115.8,111.65,2.85807259630494,9266300.0,-10.854092526690383,0.37467508870378025,0.263967716636583,0.11070737206719722,,,160.33514790593395,,,,1.3920307918615074,0.44896578843357504,3.295353413805655,47.03055751133739,0.24143426294820733,6.060000000000002,5.615790936891857,0.0,,0.0,0.432857142857143,8.593112651318819,4.4431126513188275,95.9545683120865,104.91285714285713,113.87114597362778,17.07758052680306,1.0055174614393247,104.91285714285713,107.20688734868118,113.80666666666666,111.52906349206347,0.053525212454711306
2004-09-17,117.49,114.42,117.49,113.55,2.94634508502121,9472500.0,0.0,0.4475265961210018,0.325154009798056,0.12237258632294584,,,155.02682805554105,,,,1.4195696707647096,0.40747151942304544,3.2895200807362857,55.087623322627095,0.422189128816083,11.33999999999999,10.682995760715956,0.0,,0.0,0.8099999999999993,8.912030964476301,4.972030964476303,94.66008965502684,105.72285714285715,116.78562463068747,20.9278632583337,1.0318354051139276,105.72285714285715,108.5779690355237,116.17666666666666,114.45681746031745,0.09441497735506073
2004-09-20,119.36,116.95,121.6,116.77,2.99323984465173,10628700.0,-9.885260370697246,0.5096135243237643,0.38664051463995874,0.12297300968380553,,,150.8020408912381,,,,1.6631115862145145,0.3705865671337449,2.31113558023735,58.68314865645471,0.7055713704758029,17.349999999999994,17.00813645721007,0.0,,0.0,1.2392857142857139,11.584426835879455,6.754426835879457,94.09988760372478,106.96214285714287,119.82439811056095,24.050107654624554,0.9819472518072778,106.96214285714287,110.01557316412054,119.24333333333334,117.38053968253968,-0.00011088403674284232
2004-09-21,117.84,120.2,120.42,117.51,2.9551221790697,7228700.0,-16.593115622241793,0.5155639298596718,0.4296149863798631,0.08594894347980869,,,116.40726472206916,,,,1.5153846984826613,0.33766899223878033,-0.7659295897585634,48.29116942267746,0.6007766990291261,15.469999999999999,15.11184917456286,0.0,,0.0,1.105,9.361169924428864,6.451169924428868,94.34357308295735,108.06714285714285,121.79071263132836,25.398228196570532,0.8560610432877391,108.06714285714285,111.05883007557114,118.58999999999999,119.47940476190477,0.05851326940131579
