,close,open,high,low,adjusted close,volume,WILLR_7,SMI_4_7_5,SMIs_4_7_5,SMIo_4_7_5,STOCHRSIk_7_14_3_3,STOCHRSId_7_14_3_3,CCI_7_0.015,MACD_7_26_9,MACDh_7_26_9,MACDs_7_26_9,DMP_7,DMN_7,CFO_7,CMO_7,ER_7,MOM_7,ROC_7,STC_7_7_14_0.5,STCmacd_7_7_14_0.5,STCstoch_7_7_14_0.5,SLOPE_7,BULLP_7,BEARP_7,BBL_7_2.0,BBM_7_2.0,BBU_7_2.0,BBB_7_2.0,BBP_7_2.0,SMA_7,EMA_7,VWAP_D,HMA_7,CMF_20
2004-08-19,100.335,100.01,104.06,95.96,2.51614208958723,44659000.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,100.11833333333333,,
2004-08-20,108.31,101.01,109.08,100.5,2.71613444683503,22834300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,105.96333333333332,,
2004-08-23,109.4,110.76,113.48,109.05,2.74346882544319,18256100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,110.64333333333333,,
2004-08-24,104.87,111.24,111.6,103.57,2.62986815104413,15247300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,106.68,,
2004-08-25,106.0,104.76,108.0,103.88,2.65820562611497,9188600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,105.96,,
2004-08-26,107.91,104.95,107.95,104.66,2.70610348220818,7094800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,106.83999999999999,,
2004-08-27,106.15,108.1,108.62,105.69,2.66196723785004,6211700.0,-41.83789954337897,0.31611851046480094,0.31611851046480094,0.0,,,24.56643096390051,,,,,,-1.3267949666914602,,,,,0.0,,0.0,,2.480714285714299,-0.4492857142857076,100.59466044401225,106.13928571428572,111.68391098455919,10.447828498109436,0.5009661866394948,106.13928571428572,106.1392857142857,106.82,,
2004-08-30,102.01,105.28,105.49,102.01,2.55814675396216,5196700.0,-88.36671802773493,0.14441030489246096,0.25888244194068766,-0.1144721370482267,,,-171.0904191820997,,,,0.9957157652495283,1.4366081378643016,-1.9339840631870489,-16.66193695600129,0.0743288218327052,1.6750000000000114,1.669407484925511,0.0,,0.0,0.2392857142857159,0.38303571428572525,-3.0969642857142645,101.79534201725731,106.37857142857142,110.96180083988553,8.61682827615625,0.023417765452978537,106.37857142857142,105.10696428571427,103.17,104.38144841269842,
2004-08-31,102.37,102.32,103.71,102.16,2.56717462212632,4917800.0,-96.8613775065388,0.0743173441146841,0.19736074266535317,-0.12304339855066906,,,-121.347710212963,,,,0.7949868512686701,1.1469985912510685,-0.296543351149278,-13.234439915884474,0.398123324396783,-5.939999999999998,-5.484258147908778,0.0,,0.0,-0.8485714285714282,-0.7127232142857025,-2.2627232142856997,100.51241947890078,105.53,110.54758052109922,9.509296922390257,0.18510719591723424,105.53,104.4227232142857,102.74666666666667,101.84365079365078,
2004-09-01,100.25,102.7,102.97,99.67,2.51401050960402,9138200.0,-95.13830678960605,-0.04475230210374591,0.11665639440898683,-0.16140869651273274,,,-120.0575234635182,,,,0.6436143295572514,1.402717927463849,-1.0751692198075937,-27.806645158449975,0.5736677115987469,-9.150000000000006,-8.363802559414996,0.0,,0.0,-1.307142857142858,-0.4095424107142662,-3.7095424107142634,99.15196864042667,104.22285714285715,109.29374564528763,9.730856822471994,0.10826814265853409,104.22285714285715,103.37954241071427,100.96333333333332,99.88880952380951,
2004-09-02,101.51,99.09,102.37,98.94,2.54560804817859,15118600.0,-73.45041322314043,-0.055031992125770396,0.05942693223073443,-0.11445892435650483,,,-88.46480067854084,,,,0.5266274003135002,1.2804409659870066,1.238090547025695,-14.475377087535493,0.26498422712933767,-3.3599999999999994,-3.2039668160579757,0.0,,0.0,-0.4799999999999999,-0.5421568080356849,-3.9721568080356917,98.38016363747637,103.74285714285715,109.10555064823792,10.338434188285714,0.2918157041217481,103.74285714285715,102.91215680803569,100.94,99.6720634920635,
2004-09-03,100.01,100.95,101.74,99.32,2.50799193082791,5152400.0,-88.94628099173548,-0.12182286650487102,-0.0009896673478007115,-0.1208331991570703,,,-86.28425748884592,,,,0.4344896048727784,1.0564172867637085,0.8449155084490828,-25.297678568468246,0.45900383141762424,-5.989999999999995,-5.650943396226411,0.0,,0.0,-0.855714285714285,-0.446617606026777,-2.8666176060267787,97.33010650120416,102.88714285714286,108.44417921308157,10.802197828847403,0.24112614414803082,102.88714285714286,102.18661760602677,100.35666666666667,99.59805555555556,
2004-09-07,101.58,101.01,102.0,99.61,2.54736346698829,5847500.0,-72.72727272727273,-0.07503267838317734,-0.025670671026259587,-0.04936200735691776,,,-49.065864041866874,,,,0.404910727236429,0.8773370620082465,1.562104463758413,-8.527976441332608,0.4980330448465776,-6.329999999999998,-5.865999443981093,0.0,,0.0,-0.904285714285714,-0.03496320452008206,-2.4249632045200826,98.21862374663625,101.98285714285714,105.74709053907803,7.382090483987846,0.44648881984023714,101.98285714285714,102.03496320452008,101.06333333333333,100.33142857142859,
2004-09-08,102.3,100.74,103.03,100.5,2.56541920331662,4985600.0,-48.70229007633586,-0.00961193531011267,-0.020317759120877285,0.010705823810764615,,,26.300263934172246,,,,0.5081221541512815,0.7324758173818253,0.9471442535959002,-1.2758112483268664,0.3299057412167959,-3.8500000000000085,-3.626943005181355,0.0,-1.6848490251813502,0.0,-0.5500000000000013,0.9287775966099332,-1.601222403390068,99.67387320609248,101.43285714285715,103.19184107962181,3.4682724835155283,0.7464897032368032,101.43285714285715,102.10122240339007,101.94333333333333,101.56194444444445,
2004-09-09,102.31,102.5,102.71,101.0,2.56566997743229,4061700.0,-29.35010482180278,0.029570312354044916,-0.0036884019625698875,0.033258714316614806,,,55.87049884373936,,,,0.42605043367965556,0.6141665682273615,0.39760112822373533,-1.166270421300447,0.03978779840848765,0.29999999999999716,0.29408881482207344,0.0,-1.4358451022193464,0.0,0.04285714285714245,0.5565831974574422,-1.1534168025425515,99.64924674604391,101.47571428571429,103.30218182538466,3.599812137370694,0.7283877748071771,101.47571428571429,102.15341680254255,102.00666666666666,102.48710317460318,
2004-09-10,105.33,101.47,106.56,101.3,2.641403760365,8698800.0,-16.141732283464606,0.22832173230691055,0.07364830946059026,0.1546734228463203,,,190.38671411625208,,,,0.9689536787828077,0.5167839939615745,1.3118633953154688,26.748801549989143,0.29019607843137185,2.9599999999999937,2.8914721109700046,0.0,-0.8737977155534082,0.0,0.422857142857142,3.6124373980930926,-1.6475626019069125,98.63473619863666,101.89857142857143,105.1624066585062,6.40604708030209,1.0256742956808436,101.89857142857143,102.94756260190691,104.39666666666666,104.28718253968255,
2004-09-13,107.5,106.63,108.41,106.46,2.69582174346566,7844100.0,-9.609292502639876,0.4128227226904169,0.1867064472038658,0.2261162754865511,,,170.23962650659803,,,,1.1064930142128018,0.436109317297427,1.3229235880399217,40.509750484038825,0.7073170731707317,7.25,7.231920199501247,0.0,-0.22617365703541736,0.0,1.0357142857142858,4.324328048569811,2.374328048569808,98.165855518654,102.9342857142857,107.70271590991742,9.264998853477104,0.9787439574869817,102.9342857142857,104.08567195143019,107.45666666666666,106.91242063492065,
2004-09-14,111.49,107.44,112.0,106.79,2.79588061561848,10828900.0,-4.022082018927486,0.6024919997926179,0.3253016314001165,0.27719036839250144,,,141.0764389465034,,,,1.4891204614730662,0.36891909163714404,1.6564586189663792,57.59750543509507,0.7688751926040059,9.97999999999999,9.83154369027681,0.0,0.667821102902451,0.0,1.4257142857142842,6.063246036427358,0.8532460364273646,96.92516308181546,104.36,111.79483691818454,14.248441774979963,0.9794994213364007,104.36,105.93675396357264,110.09333333333335,110.71079365079363,
