,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
1999-11-01,92.37,93.25,94.19,92.12,28.8112156420539,26630600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,92.89333333333333,,
1999-11-02,92.56,92.75,94.5,91.94,28.8704787250028,23174500.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,93.0,,
1999-11-03,92.0,92.94,93.5,91.5,28.695808585785,22258500.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,92.33333333333333,,
1999-11-04,91.75,92.31,92.75,90.31,28.6178308450628,27119700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,91.60333333333334,,
1999-11-05,91.56,91.81,92.87,90.5,28.5585677621138,35083700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,91.64333333333333,,
1999-11-08,89.94,84.81,90.75,84.37,28.0532720022337,121909600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,88.35333333333334,,
1999-11-09,88.87,89.75,89.87,86.44,27.7195272719425,54884900.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,88.39333333333335,,
1999-11-10,87.12,88.12,89.12,86.44,27.1736830868868,34692700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,87.56,,
1999-11-11,89.62,88.25,90.44,88.25,27.9534604941093,34637300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,89.43666666666667,,
1999-11-12,89.19,89.75,90.0,87.06,27.819338780067,24707100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,88.75,,
1999-11-15,87.0,88.25,88.5,86.94,27.1362537713402,23540200.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,87.48,,
1999-11-16,87.31,86.94,87.75,85.87,27.2329461698357,29582600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,86.97666666666667,,
1999-11-17,85.0,86.44,87.06,85.0,26.5124318455622,33409500.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,85.68666666666667,,
1999-11-18,84.94,84.94,85.81,84.5,26.4937171877889,32246600.0,-94.37314906219157,-0.5532390171258379,-0.5532390171258379,0.0,,,-124.45588340431631,,,,,,-0.5143126240371773,,,,,0.0,,0.0,,-3.4207142857142827,-4.730714285714285,84.14301222634622,89.23071428571428,94.31841634508235,11.403477154911903,0.07832492590503366,89.23071428571428,89.23071428571428,85.08333333333333,,
1999-11-19,86.0,84.44,86.56,84.37,26.8243428084512,29113000.0,-83.90918065153015,-0.5001611903285804,-0.5355464081934188,0.03538521786483839,,,-98.66933674753481,,,,0.19599639880292768,0.7562120148376185,1.169102990033234,-39.43595706610659,0.4396135265700484,-6.3700000000000045,-6.896178412904627,0.0,,0.0,-0.45500000000000035,-2.2399523809523885,-4.429952380952386,83.75346257508707,88.7757142857143,93.79796599634153,11.314472096419744,0.22365838615368394,88.7757142857143,88.79995238095239,85.64333333333335,,
