,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
2010-06-29,23.89,19.0,25.0,17.54,1.59266666666667,18766300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,22.143333333333334,,
2010-06-30,23.83,25.79,30.4192,23.3,1.58866666666667,17187100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,25.849733333333333,,
2010-07-01,21.96,25.0,25.92,20.27,1.464,8218800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,22.71666666666667,,
2010-07-02,19.2,23.0,23.1,18.71,1.28,5139800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,20.33666666666667,,
2010-07-06,16.11,20.0,20.0,15.83,1.074,6866900.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,17.313333333333333,,
2010-07-07,15.8,16.4,16.63,14.98,1.05333333333333,6921700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,15.803333333333333,,
2010-07-08,17.46,16.14,17.52,15.57,1.164,7711400.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,16.85,,
2010-07-09,17.4,17.58,17.9,16.55,1.16,4050600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,17.283333333333335,,
2010-07-12,17.05,17.95,18.07,17.0,1.13666666666667,2202500.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,17.373333333333335,,
2010-07-13,18.14,17.3938,18.64,16.9,1.20933333333333,2680100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,17.893333333333334,,
2010-07-14,19.84,17.94,20.15,17.7601,1.32266666666667,4195200.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,19.250033333333334,,
2010-07-15,19.89,19.94,21.5,19.0,1.326,3739800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,20.13,,
2010-07-16,20.64,20.7,21.3,20.05,1.376,2621300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,20.663333333333334,,
2010-07-19,21.91,21.37,22.25,20.92,1.46066666666667,2486500.0,-55.11425462459194,-0.13182423435419444,-0.13182423435419444,0.0,,,59.61630277725588,,,,,,14.946860533350774,,,,,0.0,,0.0,,2.7414285714285676,1.4114285714285693,14.349868063561647,19.50857142857143,24.66727479358121,52.88653127573004,0.7327550550509331,19.50857142857143,19.508571428571432,21.69333333333333,,
2010-07-20,20.3,21.85,21.85,20.05,1.35333333333333,1825300.0,-65.54225607544433,-0.1716282228209678,-0.14509223050978556,-0.026535992311182227,,,35.96587646084132,,,,0.7051658057305957,0.5104847919122569,4.115411681914149,-6.929587565398848,0.21587492483463622,-3.59,-15.027208036835496,0.0,,0.0,-0.2564285714285714,2.2359047619047594,0.4359047619047587,14.664842508376072,19.25214285714286,23.83944320590965,47.6549585446778,0.6142128336047189,19.25214285714286,19.614095238095242,20.733333333333334,,
