symbol,output_size,window_size,data_mode,C,gamma,max_string_lenght,val_score,test_score,balance_score
MSFT,14,3,2,100000.0,scale,500,0.4318181818181818,0.22448979591836735,0.1875
MSFT,14,3,2,10000.0,scale,500,0.4318181818181818,0.22448979591836735,0.1875
MSFT,14,3,2,1000.0,scale,500,0.4318181818181818,0.22448979591836735,0.1875
GOOGL,3,14,0,10000.0,scale,500,0.45454545454545453,0.5666666666666667,0.5
MSFT,14,3,2,10000.0,scale,20000,0.45454545454545453,0.22448979591836735,0.15625
MSFT,14,3,2,1000.0,scale,20000,0.45454545454545453,0.22448979591836735,0.15625
MSFT,14,3,2,100000.0,scale,10000,0.45454545454545453,0.22448979591836735,0.15625
MSFT,14,3,2,10000.0,scale,10000,0.45454545454545453,0.22448979591836735,0.15625
MSFT,14,3,2,100000.0,scale,1000,0.45454545454545453,0.22448979591836735,0.15625
MSFT,14,3,2,10000.0,scale,1000,0.45454545454545453,0.22448979591836735,0.15625
MSFT,14,3,2,1000.0,scale,1000,0.45454545454545453,0.22448979591836735,0.15625
MSFT,14,3,2,100000.0,scale,20000,0.45454545454545453,0.22448979591836735,0.15625
AMZN,7,14,0,10000.0,scale,500,0.45454545454545453,0.625,0.6296296296296297
MSFT,14,3,1,100000.0,scale,500,0.45454545454545453,0.24489795918367346,0.15625
MSFT,14,3,1,10000.0,scale,500,0.45454545454545453,0.24489795918367346,0.15625
MSFT,14,3,1,1000.0,scale,500,0.45454545454545453,0.24489795918367346,0.15625
GOOGL,3,14,0,100000.0,scale,500,0.45454545454545453,0.5166666666666667,0.4423076923076923
GOOGL,3,7,2,100000.0,scale,1000,0.45454545454545453,0.5666666666666667,0.5
GOOGL,3,7,2,10000.0,scale,1000,0.45454545454545453,0.5666666666666667,0.5
GOOGL,3,7,2,1000.0,scale,1000,0.45454545454545453,0.5666666666666667,0.5
GOOGL,3,7,2,100000.0,scale,500,0.45454545454545453,0.5833333333333334,0.5961538461538461
GOOGL,3,7,2,10000.0,scale,500,0.45454545454545453,0.5833333333333334,0.5961538461538461
GOOGL,3,7,2,1000.0,scale,500,0.45454545454545453,0.5833333333333334,0.5961538461538461
GOOGL,3,7,1,100000.0,scale,500,0.45454545454545453,0.5666666666666667,0.5
