,date,4. close,1. open,2. high,3. low,6. volumn,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO,SELL,NEU,BUY
0,1999-11-01,69.13,68.06,71.88,66.31,12824100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
1,1999-11-02,66.44,69.75,70.0,65.06,13243200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
2,1999-11-03,65.81,68.19,68.5,65.0,10772100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
3,1999-11-04,63.06,67.19,67.19,61.0,16759200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
4,1999-11-05,64.94,64.75,65.5,62.25,11091400.0,,,,,,,,,,,,,,,,,,,,,,,,,61.904408883080116,65.876,69.84759111691989,12.057778605015134,0.38216309629503026,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
5,1999-11-08,78.0,64.81,80.0,63.5,32339400.0,,,,,,,,,,,,,,,,,,,,,,,,,57.05247576082061,67.65,78.2475242391794,31.33044860067817,0.9883216007063096,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
6,1999-11-09,70.81,80.88,83.06,70.0,26477100.0,,,,,,,,,,,,,,,,,,,,,,,,,57.75045759278779,68.524,79.2975424072122,31.44458118969181,0.6060932381196027,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
7,1999-11-10,72.0,71.56,75.0,70.13,11506700.0,,,,,,,,,,,,,,,,,,,,,,,,,59.09841411156627,69.762,80.42558588843373,30.571330777310653,0.6049365580872494,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
8,1999-11-11,73.0,74.75,75.0,71.38,9293900.0,,,,,,,,,,,,,,,,,,,,,,,,,63.362046733558955,71.75,80.13795326644104,23.381054401229395,0.5745116216253293,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
9,1999-11-12,74.94,73.75,75.0,70.81,10319600.0,69.81300000000002,69.81300000000002,,,,,,,,,,,,,,,,,,,,,,,68.71038096677935,73.75,78.78961903322065,13.666763479920396,0.6180644798898132,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,2
10,1999-11-15,73.5,75.63,76.0,73.31,6437200.0,70.25000000000001,70.48336363636365,,,,,,,,,,,75.01788888888892,,,,,,,,,4.3700000000000045,,,70.0647244301505,72.85,75.63527556984948,7.646604172544926,0.6166850431311417,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,2
11,1999-11-16,78.94,74.25,79.63,73.75,15238700.0,71.50000000000003,72.02093388429753,,,,,,,,,,,76.40759259259262,,,,,,,,,12.5,,,69.62590144430044,74.476,79.32609855569956,13.024594649818896,0.9601968340163067,,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,3
12,1999-11-17,76.5,77.94,80.0,75.44,6657400.0,72.56900000000003,72.83530954169798,,,,,,,,,,,77.4576666666667,,,,,,,,,10.689999999999998,8.686923076923065,4.126923076923063,71.05671116964902,75.376,79.69528883035099,11.460647501461962,0.6301140123001058,,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,3
13,1999-11-18,77.94,76.75,78.19,75.25,5810400.0,74.05700000000004,73.76343507957108,,,,,,,,,,,78.36614814814818,,,,,,,-23.209428830462393,,14.879999999999995,5.9302197802197725,2.9902197802197747,72.42767481018205,76.364,80.30032518981795,10.30937402393261,0.7001867127335688,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,2
14,1999-11-19,77.94,77.88,78.13,76.06,5760600.0,75.35700000000004,74.52281051964907,,,,,,,,,,,78.84659259259263,60.22278951032723,,,,,,-23.209428830462393,,13.0,5.058759811616952,2.9887598116169585,73.16670412003494,76.964,80.76129587996506,9.867719661049485,0.628512503483002,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,2
15,1999-11-22,80.5,77.88,82.5,76.0,10708400.0,75.60700000000004,75.60957224334923,,,,,,,,,,,79.62377777777782,62.614721229509584,,,,,,-11.604714415231197,,2.5,8.367508409957395,1.867508409957395,75.72152842967179,78.364,81.00647157032822,6.744095682528231,0.9041670729753,,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,18,2
16,1999-11-23,81.75,80.38,85.63,76.25,18332500.0,76.70100000000005,76.72601365364937,,,,,,,,,,,80.89133333333336,63.76062944053207,,,,,,-15.753146569224507,,10.939999999999998,10.409292922820626,1.0292929228206305,75.10162344950251,78.926,82.75037655049749,9.69104363707141,0.869210505648645,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,19,3
17,1999-11-24,87.25,84.25,87.75,83.25,14483100.0,78.22600000000004,78.63946571662221,,,,,,,,,,,83.71777777777781,68.35653042800966,,,,,,-1.9607843137254901,,15.25,10.810822505274828,6.310822505274828,74.23066173224458,81.076,87.9213382677554,16.886225930621663,0.9509638354237581,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,19,3
18,1999-11-26,93.13,91.06,95.13,90.5,11496000.0,80.23900000000005,81.2741083136,,,,,,,,,,,88.46666666666668,72.3881929203785,,,,,,-6.323110970597535,,20.129999999999995,15.877847861664137,11.247847861664141,73.23684890240143,84.114,94.99115109759857,25.86287918205904,0.9144467572023763,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,18,2
