,date,4. close,1. open,2. high,3. low,6. volumn,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO,SELL,NEU,BUY
0,2004-08-19,100.335,100.01,104.06,95.96,44659000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
1,2004-08-20,108.31,101.01,109.08,100.5,22834300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
2,2004-08-23,109.4,110.76,113.48,109.05,18256100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
3,2004-08-24,104.87,111.24,111.6,103.57,15247300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
4,2004-08-25,106.0,104.76,108.0,103.88,9188600.0,,,,,,,,,,,,,,,,,,,,,,,,,99.45656150745059,105.78299999999999,112.10943849254939,11.96116293270072,0.5171502497223021,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
5,2004-08-26,107.91,104.95,107.95,104.66,7094800.0,,,,,,,,,,,,,,,,,,,,,,,,,104.0242156454653,107.298,110.5717843545347,6.102228102172822,0.5934698095114725,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
6,2004-08-27,106.15,108.1,108.62,105.69,6211700.0,,,,,,,,,,,,,,,,,,,,,,,,,103.671289371479,106.86600000000001,110.06071062852102,5.978909341644691,0.3879397724463889,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
7,2004-08-30,102.01,105.28,105.49,102.01,5196700.0,,,,,,,,,,,,,,,,,,,,,,,,,101.48980759838706,105.388,109.28619240161295,7.397791782011131,0.06672225842389239,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
8,2004-08-31,102.37,102.32,103.71,102.16,4917800.0,,,,,,,,,,,,,,,,,,,,,,,,,100.27628621876933,104.888,109.49971378123068,8.79359656248699,0.226999536457784,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
9,2004-09-01,100.25,102.7,102.97,99.67,9138200.0,104.76050000000001,104.76050000000001,,,,,,,,,,,,,,,,,,,,,,,98.06371555172096,103.73800000000001,109.41228444827907,10.939644967666723,0.1926484712043397,,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0
