,date,4. close,1. open,2. high,3. low,6. volumn,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO,SELL,NEU,BUY
0,1999-11-01,92.37,93.25,94.19,92.12,26630600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
1,1999-11-02,92.56,92.75,94.5,91.94,23174500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
2,1999-11-03,92.0,92.94,93.5,91.5,22258500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
3,1999-11-04,91.75,92.31,92.75,90.31,27119700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
4,1999-11-05,91.56,91.81,92.87,90.5,35083700.0,,,,,,,,,,,,,,,,,,,,,,,,,91.30230301059748,92.048,92.79369698940252,1.6202350717071914,0.17278934544780405,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
5,1999-11-08,89.94,84.81,90.75,84.37,121909600.0,,,,,,,,,,,,,,,,,,,,,,,,,89.80607745045495,91.562,93.31792254954505,3.835483168880207,0.038134526371834156,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
6,1999-11-09,88.87,89.75,89.87,86.44,54884900.0,,,,,,,,,,,,,,,,,,,,,,,,,88.3939020595849,90.824,93.2540979404151,5.351224214778242,0.09795859098867787,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
7,1999-11-10,87.12,88.12,89.12,86.44,34692700.0,,,,,,,,,,,,,,,,,,,,,,,,,86.3890429317486,89.848,93.30695706825139,7.699574989429689,0.10566148319107643,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
8,1999-11-11,89.62,88.25,90.44,88.25,34637300.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5261436499696,89.422,92.3178563500304,6.476831987722036,0.5341867786359515,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
9,1999-11-12,89.19,89.75,90.0,87.06,24707100.0,90.498,90.498,,,,,,,,,,,,,,,,,,,,,,,86.979878052558,88.94800000000001,90.91612194744201,4.425331536272879,0.5614799302234603,,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0
