,date,4. close,1. open,2. high,3. low,6. volumn,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO,SELL,NEU,BUY
0,2010-06-29,23.89,19.0,25.0,17.54,18766300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
1,2010-06-30,23.83,25.79,30.4192,23.3,17187100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
2,2010-07-01,21.96,25.0,25.92,20.27,8218800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
3,2010-07-02,19.2,23.0,23.1,18.71,5139800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
4,2010-07-06,16.11,20.0,20.0,15.83,6866900.0,,,,,,,,,,,,,,,,,,,,,,,,,15.035807114827637,20.998,26.960192885172365,56.78819778238273,0.09008370794609975,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
5,2010-07-07,15.8,16.4,16.63,14.98,6921700.0,,,,,,,,,,,,,,,,,,,,,,,,,13.055406732445187,19.380000000000003,25.70459326755482,65.26928036692277,0.21697784754274918,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
6,2010-07-08,17.46,16.14,17.52,15.57,7711400.0,,,,,,,,,,,,,,,,,,,,,,,,,13.565592969787874,18.106,22.64640703021213,50.153617919055876,0.42886100346274236,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
7,2010-07-09,17.4,17.58,17.9,16.55,4050600.0,,,,,,,,,,,,,,,,,,,,,,,,,14.78476443658986,17.194,19.603235563410138,28.02414288019238,0.5427521499202049,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
8,2010-07-12,17.05,17.95,18.07,17.0,2202500.0,,,,,,,,,,,,,,,,,,,,,,,,,15.399384303182643,16.764,18.128615696817356,16.280311343561873,0.6047914078179771,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0
9,2010-07-13,18.14,17.3938,18.64,16.9,2680100.0,19.084000000000003,19.084000000000003,,,,,,,,,,,,,,,,,,,,,,,15.62877970426014,17.169999999999998,18.711220295739857,17.952478692368768,0.814685708033178,,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0
